,Northing(Y),Easting(X),Elevation(Z),Point Code
CP1,1000,1000,128.049,CP
CP2,1089.003,1005.518,128.163,CP
CP3,1085.692,964.329,128.213,CP
CP4,1086.556,935.952,128.254,CP
CP5,993.446,937.455,127.971,CP
259,1086.098,992.827,128.246,BD
260,1092.391,992.183,128.128,RD
261,1086.834,991.512,128.215,RD
262,1086.257,973.555,128.23,RD
263,1085.258,973.255,128.258,BD
264,1075.394,973.354,128.223,BD
265,1076.536,964.048,128.157,RD
266,1076.367,961.346,128.135,RD
267,1082.416,956.508,128.366,TR
268,1086.019,958.207,128.423,EP
269,1068.829,959.18,128.05,TR
270,1063.235,969.349,128.137,TR
271,1068.212,969.398,128.138,EP
272,1046.96,962.568,128.176,TR
273,1046.768,963.291,128.171,RD
274,1045.263,966.086,128.112,RD
275,1089.877,952.853,128.176,RD
276,1089.904,942.668,128.318,TR
277,1081.873,940.751,128.132,RD
278,1075.416,940.264,128.121,RD
279,1072.528,939.136,128.121,RD
280,1073.742,939.937,128.132,RD
281,1073.89,940.575,128.159,TR
282,1078.843,938.791,128.117,RD
283,1074.757,938.061,128.104,RD
284,1071.902,936.36,128.169,RD
285,1073.385,935.61,128.199,WT
286,1081.581,935.876,128.193,WT
287,1080.994,928.519,128.329,WT
288,1073.492,928.361,128.27,WT
289,1053.151,937.911,128.062,BD
290,1036.888,938.39,128.077,BD
291,1088.706,939.232,128.184,RD
293,1005.502,975.762,128.265,BD
294,1002.855,975.691,127.977,FH
295,1003.875,975.331,128.164,EP
296,1005.496,980.754,128.249,BD
297,999.485,983.692,128.16,TR
298,999.114,980.463,128.157,TR
299,998.594,972.143,128.115,MH
300,1004.882,957.964,128.03,BD
301,1003.684,963.651,127.985,RD
302,1002.339,962.744,127.963,RD
303,1001.786,962.051,127.953,RD
304,1004.871,964.255,128.018,RD
305,1004.16,970.022,128.026,RD
306,1008.757,957.904,128.069,BD
307,1008.453,961.337,128.151,TR
308,1006.917,968.156,127.973,RD
309,1001.233,976.964,128.011,RD
310,1002.054,975.007,127.996,RD
311,995.115,978.432,127.983,RD
312,994.93,965.925,127.979,RD
313,993.92,964.157,127.934,MH
314,998.176,981.421,128.037,RD
315,995.746,981.765,128.014,RD
316,992.195,981.326,128.022,RD
317,996.373,991.954,127.926,RD
318,994.732,989.937,127.972,RD
319,996.713,995.698,127.952,RD
320,999.36,997.891,127.996,RD
321,999.942,1009.723,127.968,RD
322,997.548,1009.316,127.984,RD
323,996.803,1012.061,127.972,RD
324,994.892,1016.365,127.959,RD
325,992.338,1021.595,127.936,RD
326,995.414,1021.078,127.952,RD
327,997.485,1020.854,128.017,RD
328,1007.006,1015.965,127.995,RD
329,1008.434,1012.725,128.047,TR
330,1006.584,1007.306,128.125,TR
331,1013.206,1012.859,128.018,RD
332,1014.5,1011.053,128.247,EP
333,1007.72,1017.701,127.999,RD
334,1031.607,1005.987,128.006,RD
335,1030.838,1003.785,128.044,RD
336,1024.031,1007.528,128.026,RD
337,1024.003,1009.612,128.045,RD
338,1018.104,1007.878,128.29,TR
339,1006.421,1000.169,128.251,BD
340,1011.806,1008.104,128.503,MH
341,1037.954,1005.991,128.012,RD
342,1041.717,1005.622,128.001,RD
343,1048.691,1002.617,128.049,RD
344,1085.88,993.353,128.248,BD
345,1086.386,995.812,128.313,RD
346,1082.256,998.057,128.148,RD
347,1084.85,1000.347,128.293,RD
348,1073.173,1001.077,128.111,RD
349,1066.641,999.078,128.127,RD
350,1061.353,997.693,128.154,RD
351,1061.67,999.286,128.085,RD
352,1060.464,998.445,128.103,TR
353,1054.651,994.494,128.213,BD
354,1056.603,1003.706,128.107,TR
355,1058.482,1003.057,128.276,EP
356,1072.802,1002.827,128.144,TR
357,1078.67,1003.12,128.212,TR
358,1083.676,1010.048,128.213,RD
359,1088.308,1010.288,128.199,RD
360,1091.701,998.269,128.154,RD
361,1092.186,993.967,128.159,MH
362,1092.372,995.173,128.149,RD
363,1092.044,977.629,128.166,RD
364,1094.451,982.993,127.947,FH
365,1032.601,999.148,128.22,BD
366,1025.582,999.39,128.325,BD
367,1040.876,1003.272,128.016,RD
368,1044.595,1001.627,128.046,RD
369,1048.448,1000.18,128.062,RD
370,1048.447,1000.18,128.062,RD
371,1084.418,996.251,128.375,EP
372,992.124,949.721,128.398,EP
373,1003.479,939.303,128.234,RD
374,1004.211,939.969,128.438,BD
375,999.507,934.217,128.258,RD
376,1029.288,933.182,128.367,RD
377,1029.288,933.181,128.367,RD
378,1032.231,937.431,128.346,RD
379,1031.624,938.879,128.414,BD
380,1042.538,938.551,128.404,BD
381,1036.338,935.297,128.403,RD
382,993.171,933.862,128.246,RD
383,998.937,943.09,128.252,RD
384,1070.905,955.608,128.027,BD
385,1072.771,953.751,128.152,BD
386,1079.154,955.736,128.371,BD
388,1061.086,959.167,128.393,MH
389,1040.341,959.592,128.359,TR
390,1037.54,956.713,128.09,BD
391,1032.734,956.903,128.075,BD
